id,name,contact_phone,email,guardian_name,guardian_phone,skills_qualifications,disability_type,disability_subcategory,age,nationality,trainings_acquired,area_of_interest,current_status,institution_or_employer,suggested_suitability,aptitude_score_percent,aptitude_category,IQ_level
795,Anjali Menon,971581991843,anjali.menon.795@example.com,Khalid Al Hammadi,971523000000,Warehouse assistant,Hearing,Hard of hearing,51,Indian,Warehouse operations,Administration,Studying,Higher Learning Dubai,"Visual roles (data entry, graphic design)",52,Average,101
796,Anoop Kumar,971547220539,anoop.kumar.796@example.com,Liam Clark,971555000000,"Handicrafts, Graphic design, Admin assistance",Learning,Dyslexia / learning difficulty,59,Syrian,,Handicrafts & Art,Working,Higher Learning Dubai,Hands-on vocational work,48,Below Average,64
797,Asha Raj,971564676626,asha.raj.797@example.com,Saeed Al Rumaithi,971530000000,"Retail cashier, Data entry, Web development",Mental Health,Chronic mental health condition,40,Emirati,"Online freelancing (Upwork), Life skills & mobility training",Technical Repair,Working,Online training - Coursera,Supportive workplace (part-time),71,Good,110
798,Anjali Varma,971520630663,anjali.varma.798@example.com,Ahmed Al Blooshi,971503000000,Gardening,Autism,Autism Spectrum Disorder - High support,53,Emirati,,Agriculture/Gardening,Studying,Gulf Vocational Center,"IT & structured tasks (data, QA)",30,Needs Support,87
799,Olivia Smith,971525209452,olivia.smith.799@example.com,Ibrahim Cherian,971526000000,"Customer support, Tailoring",Autism,Autism Spectrum Disorder - Low support,57,Bangladeshi,"Advanced IT (Web dev), Customer service, CNC basics",Manufacturing,Freelance,Not currently enrolled or employed,Creative/design with clear briefs,74,Good,124
800,Sophia Jones,971524920548,sophia.jones.800@example.com,Ethan Jones,971544000000,"Kitchen assistant, Content writing",Physical,Limb loss / amputation,51,Filipino,Bookkeeping,Technical Repair,Unemployed,Not currently enrolled or employed,Accessible admin/IT roles,65,Average,91
801,Anoop Reddy,971522952179,anoop.reddy.801@example.com,Priya Thomas,971556000000,"Data entry, Retail cashier",Hearing,Hard of hearing,50,Indian,"Customer service, Mobile phone repair, Warehouse operations",IT & Digital,Studying,Community College Sharjah,"Visual roles (data entry, graphic design)",62,Average,116
802,Zainab Al Mazroui,971505301731,zainab.al.mazroui.802@example.com,Aisha Al Blooshi,971551000000,Handicrafts,Visual,Low vision,27,Indian,Special education support,Manufacturing,Working,Company C (IT services),"Tactile/vocational roles (tailoring, assembly)",55,Average,90
803,Huda Al Mansoori,971585315790,huda.al.mansoori.803@example.com,Sara Al Hosani,971562000000,"Warehouse assistant, Security",Multiple,Multiple disabilities,41,Filipino,,Logistics & Warehouse,Studying,Community College Sharjah,Customized supported employment plan,57,Average,88
804,Maya Patel,971588768057,maya.patel.804@example.com,Hamad Al Neyadi,971588000000,Accounting basics,Speech,Speech impairment,57,Emirati,,Agriculture/Gardening,Working,Company A (Retail),"Back-office roles (data entry, admin)",66,Average,119
805,Ali Al Rumaithi,971589732396,ali.al.rumaithi.805@example.com,Mohammed Al Muhairi,971528000000,"Accounting basics, Social media management, Tailoring",Intellectual,Mild intellectual disability,55,British,"Online freelancing (Upwork), Sign language (advanced), Vocational tailoring",Administration,Unemployed,Not currently enrolled or employed,Supported employment with job coach,69,Average,96
806,Anjali Nair,971522091401,anjali.nair.806@example.com,Khalid Al Neyadi,971523000000,"Content writing, Web development, Data entry",Intellectual,Moderate intellectual disability,58,Emirati,"Barista & cafe skills, Project-based training (3 months), Graphic design",Manufacturing,Unemployed,Not currently enrolled or employed,Hospitality support roles with routines,60,Average,81
807,Huda Al Mazroui,971555699913,huda.al.mazroui.807@example.com,Arjun Singh,971501000000,"Web development, Tailoring, Sales support",Speech,Speech impairment,43,Other,"CNC basics, Project-based training (3 months), Sign language (basic)",Administration,Freelance,Not currently enrolled or employed,IT & digital work,78,Good,99
808,Mason Smith,971556470703,mason.smith.808@example.com,Anjali Raj,971551000000,"Graphic design, Customer support",Speech,Speech impairment,35,Emirati,"Bookkeeping, Advanced IT (Web dev), Customer service",Technical Repair,Working,Technical College Abu Dhabi,Graphic design/creative roles,62,Average,138
809,Anoop Cherian,971525826762,anoop.cherian.809@example.com,Ahmed Al Falasi,971522000000,"Social media management, Assembly & packing",Learning,Dyslexia / learning difficulty,38,Filipino,,Handicrafts & Art,Vocational training,Special Needs Centre Ras Al Khaimah,Supervised admin tasks,69,Average,90
810,Rahul Balakrishnan,971521839979,rahul.balakrishnan.810@example.com,Ethan Allen,971521000000,"Data entry, Retail cashier",Mental Health,Chronic mental health condition,55,American,Customer service,Creative/Design,Working,Private School Abu Dhabi,Supportive workplace (part-time),58,Average,113
811,Ali Al Rumaithi,971529461212,ali.al.rumaithi.811@example.com,Deepa Thomas,971561000000,"Graphic design, Accounting basics, Admin assistance",Visual,Blind / no vision,32,Emirati,"Vocational tailoring, Customer service, Sign language (basic)",Creative/Design,Vocational training,Company B (Hospitality),IT roles with screen-reader support,66,Average,82
812,Mia Jones,971522567871,mia.jones.812@example.com,Mason Hall,971522000000,"Graphic design, Security",Hearing,Deaf,58,Pakistani,,Education Support,Vocational training,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",78,Good,91
813,Sanjay Balakrishnan,971585647998,sanjay.balakrishnan.813@example.com,Ethan Davis,971506000000,"Transcription, Bookkeeping, Data entry",Speech,Speech impairment,40,Emirati,"Customer service, Sign language (basic), Warehouse operations",Data & Analytics,Studying,Company B (Hospitality),"Back-office roles (data entry, admin)",93,Excellent,112
814,Neha Reddy,971506620165,neha.reddy.814@example.com,Saeed Al Rumaithi,971559000000,"Sales support, Kitchen assistant",Hearing,Deaf,36,Jordanian,,Retail,Working,Private School Abu Dhabi,On-site assembly/packing,58,Average,115
815,Mohammed Al Falasi,971567586824,mohammed.al.falasi.815@example.com,Priya Singh,971557000000,"Gardening, Sales support, Retail cashier",Hearing,Hard of hearing,35,Indian,,Retail,Unemployed,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",66,Average,110
816,Yusuf Al Ali,971550835701,yusuf.al.ali.816@example.com,Arjun Reddy,971521000000,Warehouse assistant,Learning,Dyslexia / learning difficulty,42,Emirati,,Logistics & Warehouse,Vocational training,Company B (Hospitality),Roles with assistive tech (auditory support),72,Good,89
817,Mariam Al Mansoori,971581349096,mariam.al.mansoori.817@example.com,Reema Balakrishnan,971560000000,Kitchen assistant,Visual,Low vision,51,Indian,"Project-based training (3 months), Data entry, Soft skills & communication",IT & Digital,Working,Technical College Abu Dhabi,"Tactile/vocational roles (tailoring, assembly)",55,Average,112
818,Huda Al Rumaithi,971554809573,huda.al.rumaithi.818@example.com,Rahul Kumar,971550000000,Customer support,Mental Health,Chronic mental health condition,55,Indian,Graphic design,Manufacturing,Freelance,Not currently enrolled or employed,Creative/artisan roles,59,Average,95
819,Noah Taylor,971564907342,noah.taylor.819@example.com,Aisha Al Qubaisi,971588000000,Retail cashier,Hearing,Deaf,55,Indian,,Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Back-office admin roles,50,Average,105
820,Majid Al Rumaithi,971523088295,majid.al.rumaithi.820@example.com,Kamal Reddy,971588000000,"Data entry, Kitchen assistant",Learning,Dyslexia / learning difficulty,30,Emirati,"Project-based training (3 months), Data entry, Vocational tailoring",Customer Service,Working,Company A (Retail),Supervised admin tasks,95,Excellent,87
821,Olivia Brown,971527306629,olivia.brown.821@example.com,Fatima Al Blooshi,971508000000,"Warehouse assistant, Gardening",Speech,Speech impairment,25,American,"Mobile phone repair, Life skills & mobility training",Agriculture/Gardening,Unemployed,Not currently enrolled or employed,IT & digital work,65,Average,116
822,Olivia Johnson,971552371798,olivia.johnson.822@example.com,Liam Johnson,971524000000,"Transcription, Admin assistance, Customer support",Multiple,Multiple disabilities,33,British,"CNC basics, Project-based training (3 months)",Agriculture/Gardening,Working,Special Needs Centre Ras Al Khaimah,Customized supported employment plan,63,Average,105
823,Sara Al Falasi,971555539818,sara.al.falasi.823@example.com,Rahul Kumar,971527000000,Transcription,Physical,Limb loss / amputation,36,Indian,"Retail operations, Soft skills & communication",Agriculture/Gardening,Unemployed,Not currently enrolled or employed,Supervised workshop tasks,49,Below Average,105
824,Huda Al Ali,971528488763,huda.al.ali.824@example.com,Reema Nair,971508000000,"Tailoring, Data entry, Warehouse assistant",Learning,Dyslexia / learning difficulty,22,Emirati,,Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Hands-on vocational work,62,Average,111
825,Rashid Al Hammadi,971528861820,rashid.al.hammadi.825@example.com,Maya Kumar,971557000000,Gardening,Visual,Low vision,30,Indian,Warehouse operations,Logistics & Warehouse,Vocational training,Online training - Coursera,"Audio-based roles (call center, voice transcription)",82,Good,131
826,Majid Al Hammadi,971526497035,majid.al.hammadi.826@example.com,Omar Al Blooshi,971559000000,"Admin assistance, Bookkeeping",Hearing,Deaf,60,Indian,,Data & Analytics,Studying,Freelance / Self-employed,"Visual roles (data entry, graphic design)",73,Good,103
827,Saeed Al Blooshi,971580570521,saeed.al.blooshi.827@example.com,Deepa Balakrishnan,971584000000,Graphic design,Hearing,Deaf,48,Pakistani,"Graphic design, Bookkeeping",Technical Repair,Working,Technical College Abu Dhabi,Back-office admin roles,67,Average,95
828,Emma Johnson,971525036871,emma.johnson.828@example.com,Huda Al Ali,971561000000,Bookkeeping,Autism,Autism Spectrum Disorder - High support,19,British,"Data entry, Retail operations",Education Support,Working,Special Needs Centre Ras Al Khaimah,Creative/design with clear briefs,70,Good,96
829,Amelia Jones,971503664016,amelia.jones.829@example.com,Ali Al Qubaisi,971547000000,"Accounting basics, Web development, Admin assistance",Autism,Autism Spectrum Disorder - Low support,47,Indian,Hospitality training,Logistics & Warehouse,Working,Company B (Hospitality),Supported workplace with routine,67,Average,115
830,Mohammed Al Muhairi,971561585423,mohammed.al.muhairi.830@example.com,Noor Al Hosani,971555000000,Admin assistance,Autism,Autism Spectrum Disorder - Low support,43,Bangladeshi,Bookkeeping,Handicrafts & Art,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,49,Below Average,113
831,Anoop Nair,971581595841,anoop.nair.831@example.com,Mia Jones,971589000000,Content writing,Physical,Mobility impairment (wheelchair user),26,American,,Education Support,Vocational training,Higher Learning Dubai,Supervised workshop tasks,84,Good,98
832,Ethan Brown,971524476094,ethan.brown.832@example.com,Olivia Clark,971527000000,Handicrafts,Intellectual,Mild intellectual disability,34,Egyptian,,Data & Analytics,Studying,Freelance / Self-employed,Supported employment with job coach,33,Needs Support,92
833,Liam Allen,971589621836,liam.allen.833@example.com,Sara Al Hosani,971567000000,"Accounting basics, Customer support",Hearing,Deaf,41,American,Customer service,Retail,Vocational training,Online training - Coursera,On-site assembly/packing,84,Good,99
834,Kamal Kumar,971503768367,kamal.kumar.834@example.com,Ahmed Al Hosani,971558000000,"Data entry, Accounting basics",Multiple,Multiple disabilities,41,Emirati,Sign language (advanced),Data & Analytics,Unemployed,Not currently enrolled or employed,Customized supported employment plan,50,Average,93
835,Noor Al Falasi,971546426018,noor.al.falasi.835@example.com,Omar Al Muhairi,971553000000,Accounting basics,Learning,Dyslexia / learning difficulty,37,Indian,"CNC basics, Warehouse operations, Data entry",Data & Analytics,Studying,Company C (IT services),Roles with assistive tech (auditory support),77,Good,106
836,Latifa Al Blooshi,971502551344,latifa.al.blooshi.836@example.com,Ethan Hall,971557000000,Bookkeeping,Physical,Mobility impairment (wheelchair user),35,Indian,,Handicrafts & Art,Freelance,Not currently enrolled or employed,Accessible admin/IT roles,61,Average,95
837,Fatima Al Blooshi,971587493251,fatima.al.blooshi.837@example.com,Rashid Al Shamsi,971569000000,Gardening,Multiple,Multiple disabilities,60,Emirati,"Bookkeeping, Sign language (advanced)",Customer Service,Working,Private School Abu Dhabi,Customized supported employment plan,59,Average,88
838,Majid Al Neyadi,971508580018,majid.al.neyadi.838@example.com,Arjun Singh,971544000000,"Accounting basics, IT support",Visual,Blind / no vision,43,Indian,,Customer Service,Unemployed,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",89,Excellent,96
839,Ravi Kumar,971566856425,ravi.kumar.839@example.com,Reema Kumar,971558000000,"Accounting basics, Handicrafts",Speech,Speech impairment,20,Indian,,Education Support,Studying,Gulf Vocational Center,"Back-office roles (data entry, admin)",83,Good,118
840,Majid Al Falasi,971525505224,majid.al.falasi.840@example.com,Ravi Patel,971522000000,"Gardening, Tailoring, Web development",Hearing,Deaf,20,Indian,,Hospitality,Freelance,Not currently enrolled or employed,On-site assembly/packing,79,Good,94
841,Salma Al Neyadi,971528222240,salma.al.neyadi.841@example.com,Saeed Al Neyadi,971529000000,"Tailoring, Customer support, Graphic design",Visual,Low vision,57,Emirati,,Data & Analytics,Studying,Company B (Hospitality),"Tactile/vocational roles (tailoring, assembly)",71,Good,99
842,Rashid Al Hosani,971523252861,rashid.al.hosani.842@example.com,Neha Raj,971589000000,"Retail cashier, Tailoring",Visual,Blind / no vision,35,Emirati,"Mobile phone repair, Basic IT (MS Office), Vocational tailoring",Handicrafts & Art,Vocational training,Private School Abu Dhabi,"Tactile/vocational roles (tailoring, assembly)",51,Average,103
843,Hamad Al Rumaithi,971509536773,hamad.al.rumaithi.843@example.com,Rashid Al Ali,971585000000,Security,Multiple,Multiple disabilities,21,Indian,"Retail operations, Barista & cafe skills, Graphic design",Handicrafts & Art,Working,Private School Abu Dhabi,Customized supported employment plan,47,Below Average,114
844,Sophia Williams,971528096641,sophia.williams.844@example.com,Zainab Al Neyadi,971527000000,"Bookkeeping, Warehouse assistant",Speech,Speech impairment,41,Indian,Life skills & mobility training,Agriculture/Gardening,Vocational training,Not currently enrolled or employed,IT & digital work,58,Average,102
845,Rashid Al Ali,971543243679,rashid.al.ali.845@example.com,Aisha Al Blooshi,971551000000,"Retail cashier, Assembly & packing, Transcription",Hearing,Deaf,33,Emirati,"Soft skills & communication, Mobile phone repair",Administration,Vocational training,Technical College Abu Dhabi,On-site assembly/packing,69,Average,96
846,Anoop Thomas,971562497939,anoop.thomas.846@example.com,Farah Mohan,971522000000,"Handicrafts, Admin assistance, Graphic design",Physical,Limb loss / amputation,41,American,,Administration,Studying,Online training - Coursera,Accessible admin/IT roles,73,Good,94
847,Mohammed Al Shamsi,971582014896,mohammed.al.shamsi.847@example.com,Mason Smith,971563000000,Gardening,Physical,Limb loss / amputation,34,Indian,"CNC basics, Warehouse operations",Retail,Working,Special Needs Centre Ras Al Khaimah,"Remote/desk roles (customer support, data entry)",78,Good,83
848,Reema Menon,971526456339,reema.menon.848@example.com,Ali Al Rumaithi,971569000000,"IT support, Accounting basics, Assembly & packing",Autism,Autism Spectrum Disorder - High support,58,Emirati,"Bookkeeping, Special education support, CNC basics",Hospitality,Vocational training,Company A (Retail),Supported workplace with routine,66,Average,123
849,Latifa Al Neyadi,971525391016,latifa.al.neyadi.849@example.com,Zainab Al Qubaisi,971502000000,Social media management,Physical,Mobility impairment (wheelchair user),21,Emirati,"Sign language (basic), Online freelancing (Upwork)",Technical Repair,Vocational training,Company A (Retail),Supervised workshop tasks,49,Below Average,91
850,Ethan Hall,971521409841,ethan.hall.850@example.com,Ravi Reddy,971559000000,"Gardening, Tailoring",Physical,Limb loss / amputation,41,Emirati,,Data & Analytics,Studying,Special Needs Centre Ras Al Khaimah,Supervised workshop tasks,72,Good,102
851,Noah Smith,971528866168,noah.smith.851@example.com,Emma Allen,971560000000,"Web development, Customer support",Autism,Autism Spectrum Disorder - High support,37,Indian,Barista & cafe skills,Administration,Studying,Technical College Abu Dhabi,Supported workplace with routine,70,Good,105
852,Rahul Singh,971559138601,rahul.singh.852@example.com,Omar Al Hosani,971522000000,Web development,Learning,Dyslexia / learning difficulty,35,Other,"CNC basics, Basic IT (MS Office)",Retail,Freelance,Not currently enrolled or employed,Hands-on vocational work,74,Good,113
853,Rahul Singh,971541128745,rahul.singh.853@example.com,Omar Al Rumaithi,971509000000,Tailoring,Intellectual,Mild intellectual disability,34,British,,Administration,Vocational training,Higher Learning Dubai,"Structured vocational roles (assembly, packaging)",71,Good,97
854,Mia Jones,971561619423,mia.jones.854@example.com,Ravi Varma,971540000000,"Accounting basics, Security",Physical,Mobility impairment (wheelchair user),42,Filipino,,Education Support,Working,Community College Sharjah,Accessible admin/IT roles,75,Good,122
855,Saeed Al Muhairi,971527410254,saeed.al.muhairi.855@example.com,Ibrahim Singh,971588000000,"Retail cashier, Content writing, Bookkeeping",Autism,Autism Spectrum Disorder - High support,38,Indian,,IT & Digital,Working,Company C (IT services),Supported workplace with routine,63,Average,88
856,Priya Reddy,971555635584,priya.reddy.856@example.com,Noah Clark,971582000000,"Data entry, Sales support",Intellectual,Mild intellectual disability,39,Emirati,,Sales & Marketing,Studying,Special Needs Centre Ras Al Khaimah,Hospitality support roles with routines,81,Good,98
857,Emma Williams,971506862408,emma.williams.857@example.com,Aisha Al Mazroui,971507000000,Sales support,Intellectual,Moderate intellectual disability,24,Pakistani,"Vocational tailoring, Sign language (basic), Soft skills & communication",Accounting/Finance,Studying,Community College Sharjah,Hospitality support roles with routines,32,Needs Support,110
858,Salma Al Muhairi,971562228240,salma.al.muhairi.858@example.com,Maya Varma,971523000000,Customer support,Hearing,Hard of hearing,18,Emirati,"CNC basics, Hospitality training",Administration,Working,Higher Learning Dubai,Back-office admin roles,56,Average,98
859,Salma Al Blooshi,971580535722,salma.al.blooshi.859@example.com,Kamal Balakrishnan,971521000000,"Bookkeeping, Data entry, Web development",Physical,Mobility impairment (wheelchair user),54,Jordanian,,Creative/Design,Studying,Special Needs Centre Ras Al Khaimah,"Remote/desk roles (customer support, data entry)",69,Average,102
860,Farah Thomas,971543419528,farah.thomas.860@example.com,Ravi Menon,971545000000,"Content writing, Transcription, Bookkeeping",Autism,Autism Spectrum Disorder - High support,18,Emirati,,Education Support,Studying,Community College Sharjah,Creative/design with clear briefs,75,Good,94
861,Mason Smith,971583789121,mason.smith.861@example.com,Mariam Al Rumaithi,971587000000,"Sales support, Kitchen assistant",Hearing,Deaf,37,Pakistani,"Basic IT (MS Office), Life skills & mobility training",Data & Analytics,Working,Company C (IT services),Back-office admin roles,72,Good,96
862,Yusuf Al Qubaisi,971559045289,yusuf.al.qubaisi.862@example.com,Lucas Smith,971551000000,"Admin assistance, Customer support",Visual,Blind / no vision,44,Jordanian,,Education Support,Working,Company A (Retail),"Tactile/vocational roles (tailoring, assembly)",76,Good,107
863,Salma Al Falasi,971588149802,salma.al.falasi.863@example.com,Ahmed Al Ali,971544000000,"Admin assistance, Sales support",Multiple,Multiple disabilities,41,Indian,Barista & cafe skills,Data & Analytics,Unemployed,Not currently enrolled or employed,Customized supported employment plan,50,Average,113
864,Noor Al Hammadi,971523242348,noor.al.hammadi.864@example.com,Mohammed Al Mansoori,971507000000,"Transcription, Warehouse assistant",Multiple,Multiple disabilities,41,Filipino,"CNC basics, Bookkeeping",Creative/Design,Freelance,Not currently enrolled or employed,Customized supported employment plan,56,Average,109
865,Lucas Johnson,971527960242,lucas.johnson.865@example.com,Mohammed Al Neyadi,971523000000,Warehouse assistant,Hearing,Deaf,27,Other,Soft skills & communication,Education Support,Studying,Special Needs Centre Ras Al Khaimah,"Visual roles (data entry, graphic design)",70,Good,122
866,Noah Allen,971556299172,noah.allen.866@example.com,Noor Al Muhairi,971562000000,"Bookkeeping, Gardening",Autism,Autism Spectrum Disorder - High support,27,American,Warehouse operations,Education Support,Vocational training,Company A (Retail),"IT & structured tasks (data, QA)",61,Average,95
867,Ali Al Blooshi,971520313928,ali.al.blooshi.867@example.com,Latifa Al Blooshi,971502000000,Handicrafts,Physical,Limb loss / amputation,52,Emirati,"Project-based training (3 months), Sign language (advanced)",Customer Service,Vocational training,Higher Learning Dubai,Supervised workshop tasks,64,Average,96
868,Mohammed Al Hammadi,971502956162,mohammed.al.hammadi.868@example.com,Saeed Al Falasi,971585000000,"Tailoring, Web development, Bookkeeping",Hearing,Hard of hearing,16,Jordanian,,Handicrafts & Art,Unemployed,Not currently enrolled or employed,On-site assembly/packing,76,Good,80
869,Arjun Nair,971583167781,arjun.nair.869@example.com,Huda Al Mansoori,971554000000,"IT support, Graphic design, Admin assistance",Speech,Speech impairment,38,Emirati,"Mobile phone repair, Project-based training (3 months), Special education support",Manufacturing,Studying,Gulf Vocational Center,Graphic design/creative roles,49,Below Average,87
870,Farah Reddy,971502092815,farah.reddy.870@example.com,Anjali Reddy,971582000000,"Transcription, Admin assistance, Data entry",Learning,Dyslexia / learning difficulty,23,Indian,"Online freelancing (Upwork), Mobile phone repair, Sign language (basic)",Manufacturing,Studying,Gulf Vocational Center,Roles with assistive tech (auditory support),79,Good,120
871,Ravi Mohan,971549212684,ravi.mohan.871@example.com,Priya Reddy,971527000000,"Bookkeeping, Admin assistance, Warehouse assistant",Visual,Blind / no vision,17,Emirati,Special education support,Data & Analytics,Working,Not currently enrolled or employed,"Audio-based roles (call center, voice transcription)",63,Average,97
872,Emma Williams,971524659866,emma.williams.872@example.com,Neha Cherian,971528000000,"Handicrafts, Content writing",Intellectual,Mild intellectual disability,37,Pakistani,Advanced IT (Web dev),Hospitality,Studying,Special Needs Centre Ras Al Khaimah,Hospitality support roles with routines,66,Average,113
873,Lucas Taylor,971526642673,lucas.taylor.873@example.com,Sophia Brown,971523000000,"Security, Warehouse assistant",Speech,Speech impairment,31,Indian,"Project-based training (3 months), Online freelancing (Upwork), Mobile phone repair",Handicrafts & Art,Working,Company B (Hospitality),IT & digital work,51,Average,102
874,Neha Nair,971549451046,neha.nair.874@example.com,Priya Kumar,971559000000,"Customer support, Assembly & packing, Web development",Hearing,Deaf,23,Emirati,"Mobile phone repair, Online freelancing (Upwork), Vocational tailoring",Agriculture/Gardening,Freelance,Not currently enrolled or employed,Back-office admin roles,79,Good,106
875,Ahmed Al Qubaisi,971559344212,ahmed.al.qubaisi.875@example.com,Sanjay Reddy,971525000000,"Data entry, Retail cashier, Kitchen assistant",Intellectual,Moderate intellectual disability,51,Other,"Special education support, CNC basics, Customer service",Manufacturing,Studying,Company B (Hospitality),Supported employment with job coach,67,Average,112
876,Anjali Cherian,971503398214,anjali.cherian.876@example.com,Rahul Nair,971523000000,"Sales support, Security",Hearing,Deaf,20,Egyptian,"Basic IT (MS Office), Warehouse operations, Sign language (basic)",Education Support,Vocational training,Freelance / Self-employed,"Visual roles (data entry, graphic design)",30,Needs Support,108
877,Mason Davis,971520112200,mason.davis.877@example.com,Mason Jones,971564000000,"Gardening, Security",Speech,Speech impairment,29,Indian,,Data & Analytics,Working,Not currently enrolled or employed,Graphic design/creative roles,55,Average,78
878,Maya Thomas,971581360549,maya.thomas.878@example.com,Lucas Allen,971521000000,"Kitchen assistant, Graphic design, Handicrafts",Physical,Limb loss / amputation,28,Emirati,"Advanced IT (Web dev), Basic IT (MS Office)",Hospitality,Studying,Community College Sharjah,Accessible admin/IT roles,72,Good,116
879,Omar Al Blooshi,971528080388,omar.al.blooshi.879@example.com,Ibrahim Thomas,971580000000,"Security, Content writing",Hearing,Hard of hearing,31,Emirati,"Graphic design, Sign language (basic)",Creative/Design,Working,Company B (Hospitality),Back-office admin roles,62,Average,111
880,Sanjay Mohan,971583747558,sanjay.mohan.880@example.com,Mohammed Al Qubaisi,971580000000,"Transcription, Social media management",Intellectual,Moderate intellectual disability,23,Indian,,Hospitality,Freelance,Not currently enrolled or employed,Hospitality support roles with routines,89,Excellent,115
881,Sara Al Hammadi,971506988371,sara.al.hammadi.881@example.com,Aisha Al Blooshi,971567000000,"Admin assistance, Kitchen assistant",Autism,Autism Spectrum Disorder - Low support,46,Bangladeshi,Sign language (basic),Retail,Working,Company A (Retail),"IT & structured tasks (data, QA)",89,Excellent,108
882,Reema Kumar,971548353458,reema.kumar.882@example.com,Zainab Al Falasi,971547000000,"Accounting basics, Retail cashier, Tailoring",Visual,Blind / no vision,53,Filipino,"Warehouse operations, Customer service, Hospitality training",Customer Service,Freelance,Not currently enrolled or employed,IT roles with screen-reader support,66,Average,80
883,Kamal Kumar,971505846687,kamal.kumar.883@example.com,Arjun Kumar,971523000000,"Assembly & packing, Gardening",Multiple,Multiple disabilities,45,Emirati,Data entry,Manufacturing,Studying,Community College Sharjah,Customized supported employment plan,61,Average,89
884,Liam Johnson,971542854613,liam.johnson.884@example.com,Latifa Al Shamsi,971523000000,Transcription,Learning,Dyslexia / learning difficulty,45,Syrian,Online freelancing (Upwork),Data & Analytics,Working,Company A (Retail),Hands-on vocational work,97,Excellent,97
885,Emma Brown,971528425278,emma.brown.885@example.com,Olivia Smith,971529000000,"Web development, Handicrafts",Physical,Mobility impairment (wheelchair user),25,Egyptian,"Bookkeeping, Online freelancing (Upwork)",Administration,Unemployed,Not currently enrolled or employed,"Remote/desk roles (customer support, data entry)",66,Average,106
886,Omar Al Rumaithi,971587719619,omar.al.rumaithi.886@example.com,Maya Singh,971556000000,"Security, Content writing, Bookkeeping",Intellectual,Mild intellectual disability,34,Emirati,Bookkeeping,Data & Analytics,Working,Technical College Abu Dhabi,Hospitality support roles with routines,65,Average,120
887,Neha Nair,971524265379,neha.nair.887@example.com,Hamad Al Muhairi,971522000000,"Sales support, Bookkeeping",Intellectual,Moderate intellectual disability,17,Indian,"Advanced IT (Web dev), Hospitality training, Barista & cafe skills",Customer Service,Unemployed,Not currently enrolled or employed,Hospitality support roles with routines,55,Average,102
888,Saeed Al Mazroui,971581016260,saeed.al.mazroui.888@example.com,Mohammed Al Muhairi,971556000000,Bookkeeping,Autism,Autism Spectrum Disorder - Low support,45,British,"Bookkeeping, Soft skills & communication",Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,53,Average,84
889,Ravi Balakrishnan,971521496791,ravi.balakrishnan.889@example.com,Lucas Williams,971589000000,"Web development, Assembly & packing",Visual,Blind / no vision,21,Other,"Retail operations, Customer service, Soft skills & communication",Retail,Working,Company B (Hospitality),"Tactile/vocational roles (tailoring, assembly)",55,Average,99
890,Rashid Al Muhairi,971587240002,rashid.al.muhairi.890@example.com,Huda Al Hammadi,971501000000,"Handicrafts, Web development",Physical,Mobility impairment (wheelchair user),51,Syrian,"Hospitality training, Warehouse operations, Sign language (basic)",Accounting/Finance,Studying,Freelance / Self-employed,Supervised workshop tasks,58,Average,91
891,Arjun Varma,971553693010,arjun.varma.891@example.com,Mohammed Al Qubaisi,971509000000,"Transcription, Customer support",Autism,Autism Spectrum Disorder - High support,23,Jordanian,Soft skills & communication,Sales & Marketing,Freelance,Not currently enrolled or employed,"IT & structured tasks (data, QA)",43,Below Average,99
892,Hessa Al Hosani,971548929093,hessa.al.hosani.892@example.com,Hessa Al Rumaithi,971528000000,Content writing,Visual,Low vision,50,American,,Retail,Freelance,Not currently enrolled or employed,IT roles with screen-reader support,42,Below Average,109
893,Kamal Singh,971549474705,kamal.singh.893@example.com,Olivia Brown,971521000000,Tailoring,Multiple,Multiple disabilities,55,Indian,"Project-based training (3 months), Soft skills & communication, Bookkeeping",Retail,Studying,Company C (IT services),Customized supported employment plan,66,Average,82
894,Ethan Johnson,971586937650,ethan.johnson.894@example.com,Ravi Reddy,971528000000,"Handicrafts, Assembly & packing, Bookkeeping",Intellectual,Mild intellectual disability,24,Filipino,"Life skills & mobility training, Soft skills & communication, Retail operations",IT & Digital,Studying,Freelance / Self-employed,Supported employment with job coach,60,Average,90
895,Noah Clark,971552922666,noah.clark.895@example.com,Majid Al Mazroui,971564000000,"Transcription, Data entry, Admin assistance",Visual,Low vision,51,American,"Special education support, Project-based training (3 months)",Administration,Unemployed,Not currently enrolled or employed,IT roles with screen-reader support,69,Average,116
896,Neha Varma,971549777265,neha.varma.896@example.com,Mia Davis,971541000000,"Retail cashier, IT support, Admin assistance",Hearing,Deaf,17,Other,,Technical Repair,Freelance,Not currently enrolled or employed,On-site assembly/packing,36,Needs Support,101
